Season,Name,Age,Hometown,Occupation
1,Trista Rehn,29,"Indianapolis, Indiana",pediatric physical therapist
2,Meredith Phillips,28,"Beaverton, Oregon",Makeup artist
3,Jennifer Schefft,28,"Mentor, Ohio",publicist
4,DeAnna Pappas,26,"Newnan, Georgia",real estate agent
5,Jillian Harris,29,"Peace River, Alberta",interior designer
6,Ali Fedotowsky,25,"Williamstown, Massachusetts",advertising account manager
7,Ashley Hebert,27,"Madawaska, Maine",dentist
8,Emily Maynard,26,"Charlotte, North Carolina",Children's Hospital Event Planner
9,Desiree Hartsock,27,"Northglenn, Colorado",bridal stylist
10,Andi Dorfman,27,"Atlanta, Georgia",assistant district attorney
11,Kaitlyn Bristowe,29,"Leduc, Alberta",spin-class instructor
12,"Joelle ""JoJo"" Fletcher",25,"Dallas, Texas",real estate developer
13,Rachel Lindsay,32,"Dallas, Texas",attorney
14,Becca Kufrin,28,"Prior Lake, Minnesota",publicist
15,Hannah Brown,24,"Northport, Alabama",interior designer
16,,,,
17,Katie Thurston,30,"Lynnwood, Washington",bank marketing manager
18,Michelle Young,28,"Woodbury, Minnesota",elementary school teacher
19,Charity Lawson,27,"Columbus, Georgia",family therapist
